test_date,split,model,threshold,auc,accuracy,return_0fee,return_01bps,n_trades,win_rate,sharpe
2026-01-16,test,LightGBM,0.6/0.4,0.7320873541802762,0.765539079909971,6.412276178371168,2.121304098101384,2058,0.5029154518950437,33.716427554861646
2026-01-17,test,XGBoost,0.55/0.45,0.8086384704074556,0.8669653041262062,2.3216960172830037,1.1163569550881824,593,0.5682967959527825,25.79709663460306
2026-01-17,test,XGBoost,0.6/0.4,0.8086384704074556,0.8669653041262062,2.0654432844037895,0.5368510286166917,755,0.5417218543046357,25.64272804483319
2026-01-17,test,LightGBM,0.55/0.45,0.8083594559694305,0.8667080720114536,2.3368276885095796,1.1171530650098793,600,0.5616666666666666,27.17626451299534
2026-01-17,test,LightGBM,0.6/0.4,0.8083594559694305,0.8667080720114536,2.220385660372859,0.7156572175474052,742,0.5256064690026954,24.885232072098624
2026-01-18,test,XGBoost,0.55/0.45,0.8116474323655339,0.8863759615964006,3.839067570548549,2.0979416686382812,846,0.566193853427896,24.34549143925706
2026-01-18,test,XGBoost,0.6/0.4,0.8116474323655339,0.8863759615964006,3.8819523242119347,1.7730626287940865,1026,0.5516569200779727,25.153171092496585
2026-01-18,test,LightGBM,0.55/0.45,0.8112161805216875,0.8858846377877451,3.4704949878536118,1.8291857635667874,800,0.54375,22.211104081888053
2026-01-18,test,LightGBM,0.6/0.4,0.8112161805216875,0.8858846377877451,4.124533322926172,2.057657371652688,1003,0.555333998005982,26.492100414357928
2026-01-19,test,XGBoost,0.55/0.45,0.7276845942673928,0.739271185368904,9.326507702035824,3.120631908679261,2922,0.5294318959616701,43.44178451218933
2026-01-19,test,XGBoost,0.6/0.4,0.7276845942673928,0.739271185368904,11.515807831075154,3.8499519770960333,3561,0.5282224094355518,56.53982036692984
2026-01-19,test,LightGBM,0.55/0.45,0.7266167718905553,0.738969064197236,10.367927393038245,4.248792602094942,2852,0.532258064516129,45.53480797605501
2026-01-19,test,LightGBM,0.6/0.4,0.7266167718905553,0.738969064197236,10.674282140476032,3.161131977294507,3515,0.5169274537695591,51.34106978062243
2026-01-20,test,XGBoost,0.55/0.45,0.6959211376878002,0.6608629303592228,26.179724801389792,16.9982786234087,3778,0.5812599258867125,71.48653262262121
2026-01-20,test,XGBoost,0.6/0.4,0.6959211376878002,0.6608629303592228,28.899352928359146,16.99181096870477,4847,0.5760264080874767,82.26759564885276
2026-01-20,test,LightGBM,0.55/0.45,0.6968731364768098,0.6612951666646374,25.790528253295818,16.688730298052622,3756,0.575346112886049,70.65584568674277
2026-01-20,test,LightGBM,0.6/0.4,0.6968731364768098,0.6612951666646374,29.395781320211366,17.308575799967386,4904,0.5693311582381729,82.23052037586211
2026-01-21,test,XGBoost,0.55/0.45,0.7240188923171913,0.699701521512291,31.680459385348513,18.988930321218533,5068,0.5664956590370955,73.9959930523796
2026-01-21,test,XGBoost,0.6/0.4,0.7240188923171913,0.699701521512291,41.703921798306574,26.13751778160145,5819,0.5731225296442688,103.02940055391089
2026-01-21,test,LightGBM,0.55/0.45,0.7239877287736848,0.6991332799469372,34.9131943554575,21.783398550751464,5120,0.558984375,82.01373526820376
2026-01-21,test,LightGBM,0.6/0.4,0.7239877287736848,0.6991332799469372,33.885492451928975,19.21364675876063,5804,0.5704686423156444,86.06827093817085
2026-01-22,test,XGBoost,0.55/0.45,0.7067456702246959,0.7021987722184327,23.163107528729142,12.837778421745893,4378,0.5573321151210598,86.9123808169268
2026-01-22,test,XGBoost,0.6/0.4,0.7067456702246959,0.7021987722184327,25.759161331048208,13.748565673813706,5019,0.5550906555090656,105.94364339687682
2026-01-22,test,LightGBM,0.55/0.45,0.7071774449217442,0.7026421377843759,21.608668664051468,11.41586946561548,4377,0.5474068997029929,81.98994454863119
2026-01-22,test,LightGBM,0.6/0.4,0.7071774449217442,0.7026421377843759,26.021729752362788,13.983780237182252,5020,0.5617529880478087,107.57011025059005
2026-01-23,test,XGBoost,0.55/0.45,0.7303197875440393,0.7199273934926602,24.698046854364474,13.629928896367339,4648,0.5434595524956971,83.13587031473007
2026-01-23,test,XGBoost,0.6/0.4,0.7303197875440393,0.7199273934926602,25.429912774907404,12.581664180484186,5404,0.5381199111769059,92.57394552952377
2026-01-23,test,LightGBM,0.55/0.45,0.7296457194763503,0.7194395455097735,20.68635403797714,9.956680815460883,4656,0.5435996563573883,71.13852412800586
2026-01-23,test,LightGBM,0.6/0.4,0.7296457194763503,0.7194395455097735,22.31051725142146,9.794946868224974,5398,0.5350129677658392,82.48154445945357
2026-01-24,test,XGBoost,0.55/0.45,0.8094721154668343,0.9279464025071351,1.0674546474798596,0.5664037302594904,249,0.6265060240963856,21.085275998640288
2026-01-24,test,XGBoost,0.6/0.4,0.8094721154668343,0.9279464025071351,1.139024623772178,0.44457978845635626,345,0.5565217391304348,24.21206775775579
2026-01-24,test,LightGBM,0.55/0.45,0.8097163187872877,0.9283106994743026,1.1334755830731513,0.5536351948115525,288,0.5902777777777778,23.30453876665104
2026-01-24,test,LightGBM,0.6/0.4,0.8097163187872877,0.9283106994743026,1.215522869639618,0.5507143792599756,330,0.5515151515151515,25.112075279712183
2026-01-25,test,XGBoost,0.55/0.45,0.7927266366334229,0.7681426176915868,15.994785307516368,7.640432586573143,3738,0.5358480470840021,83.4153912217758
2026-01-25,test,XGBoost,0.6/0.4,0.7927266366334229,0.7681426176915868,16.714758279695552,7.4219056445629095,4149,0.5324174499879489,95.8431913280247
2026-01-25,test,LightGBM,0.55/0.45,0.7930100161046358,0.7694380361906135,14.700870872596905,6.437569702999668,3739,0.5365070874565392,77.8372987320968
2026-01-25,test,LightGBM,0.6/0.4,0.7930100161046358,0.7694380361906135,17.714502364040662,8.49167514425182,4080,0.5433823529411764,100.99978770619309
2026-01-26,test,XGBoost,0.55/0.45,0.7342446954871569,0.7086298486518994,35.09138409671162,20.413770458439306,5751,0.5772909059294036,103.35457629063777
2026-01-26,test,XGBoost,0.6/0.4,0.7342446954871569,0.7086298486518994,36.577294823827586,19.801137019767133,6553,0.5867541584007325,120.77904475039439
2026-01-26,test,LightGBM,0.55/0.45,0.733851458182067,0.7089182312300748,36.76974395609831,21.374564980589717,5971,0.5915257075866689,107.18485510153944
2026-01-26,test,LightGBM,0.6/0.4,0.733851458182067,0.7089182312300748,35.58044955607864,18.582338619529825,6698,0.5861451179456554,121.14952879416306
